bias,sample_budget,greedy_stderr,uniform_stderr,mcts_median_stderr,mcts_min_stderr,mcts_max_stderr
0.0,1200.0,0.10434797462989867,0.10434797462989867,0.10434797462989867,0.10434797462989867,0.11205054124933292
0.0,1347.3684210526317,0.10434797462989867,0.10434797462989867,0.10434797462989867,0.10434797462989867,0.11205054124933292
0.0,1494.7368421052631,0.09496657630702834,0.10233195939357644,0.1022393951986736,0.09496657603113887,0.13769180588645244
0.0,1642.1052631578948,0.08455058467683556,0.10018095644660797,0.12261856219839198,0.09274686318032502,0.13716352083802028
0.0,1789.4736842105262,0.08455058467683556,0.10018095644660797,0.12261856219839198,0.09274686318032502,0.13716352083802028
0.0,1936.842105263158,0.08078068015992507,0.09036799677249585,0.12134113175075303,0.08932355539103501,0.13510716319827962
0.0,2084.2105263157896,0.07682600615984361,0.07935064961542486,0.11257141705180816,0.08854268784000506,0.13355626385234956
0.0,2231.578947368421,0.07477027277038943,0.07655664463630273,0.11432433346285537,0.08500542970888565,0.1276648430229122
0.0,2378.9473684210525,0.07477027277038943,0.07655664463630273,0.11432433346285537,0.08500542970888565,0.1276648430229122
0.0,2526.315789473684,0.0726563978539476,0.07378516046388317,0.11137048511818241,0.08317529913361045,0.13039485486651292
0.0,2673.684210526316,0.07135802144456314,0.07283790180487437,0.10661567552950692,0.07889810347999102,0.12878722094845269
0.0,2821.0526315789475,0.07003557885171222,0.07183423960581785,0.11698221611755649,0.08026780771054143,0.1301163068746931
0.0,2968.421052631579,0.07003557885171222,0.07183423960581785,0.11698221611755649,0.08026780771054143,0.1301163068746931
0.0,3115.789473684211,0.06685339502465815,0.06735632795156124,0.11566987651482818,0.08602078661848395,0.1489762747916603
0.0,3263.157894736842,0.06351197265006181,0.06255870709200789,0.11346179722290237,0.09923683243051096,0.14706191243885886
0.0,3410.5263157894738,0.060142337305878354,0.06138721295364947,0.11263478372342456,0.09543163890263928,0.14682561461646385
0.0,3557.8947368421054,0.060142337305878354,0.06138721295364947,0.11263478372342456,0.09543163890263928,0.14682561461646385
0.0,3705.263157894737,0.05657235049545535,0.06024533124196424,0.11386129543298348,0.09146812089855486,0.14652945414358454
0.0,3852.631578947369,0.05545966306835168,0.059666196072665455,0.11139496746727287,0.09785123863845789,0.1454753860822822
0.0,4000.0,0.054324189927104895,0.059054669366499064,0.10887252530459766,0.09461279945644671,0.14316167402691127
0.25,1200.0,0.10434797462989867,0.10434797462989867,0.10434797462989867,0.10434797462989867,0.11205054124933292
0.25,1347.3684210526317,0.10434797462989867,0.10434797462989867,0.10434797462989867,0.10434797462989867,0.11205054124933292
0.25,1494.7368421052631,0.09496657630702834,0.10233195939357644,0.1022393951986736,0.09496657603113887,0.13769180588645244
0.25,1642.1052631578948,0.08455058467683556,0.10018095644660797,0.12261856219839198,0.09274686318032502,0.13716352083802028
0.25,1789.4736842105262,0.08455058467683556,0.10018095644660797,0.12261856219839198,0.09274686318032502,0.13716352083802028
0.25,1936.842105263158,0.08078068026803786,0.09036799677249585,0.12134113175075303,0.08932355539103501,0.13510716319827962
0.25,2084.2105263157896,0.07682600615984361,0.07935064961542486,0.11257141705180816,0.08854268784000506,0.13355626385234956
0.25,2231.578947368421,0.0747702727119877,0.07655664463630273,0.11432433346285537,0.08500542970888565,0.1276648430229122
0.25,2378.9473684210525,0.0747702727119877,0.07655664463630273,0.11432433346285537,0.08500542970888565,0.1276648430229122
0.25,2526.315789473684,0.0726563978539476,0.07378516046388317,0.11137048511818241,0.08317529913361045,0.13039485486651292
0.25,2673.684210526316,0.0713580214812798,0.07283790180487437,0.10661567552950692,0.07889810347999102,0.12878722094845269
0.25,2821.0526315789475,0.07003557885171222,0.07183423960581785,0.11698221611755649,0.08026780771054143,0.1301163068746931
0.25,2968.421052631579,0.07003557885171222,0.07183423960581785,0.11698221611755649,0.08026780771054143,0.1301163068746931
0.25,3115.789473684211,0.06685339502465815,0.06735632795156124,0.11566987651482818,0.08602078661848395,0.1489762747916603
0.25,3263.157894736842,0.06351197265006181,0.06255870709200789,0.11346179722290237,0.09923683243051096,0.14706191243885886
0.25,3410.5263157894738,0.060142337305878354,0.06138721295364947,0.11263478372342456,0.09543163890263928,0.14682561461646385
0.25,3557.8947368421054,0.060142337305878354,0.06138721295364947,0.11263478372342456,0.09543163890263928,0.14682561461646385
0.25,3705.263157894737,0.05657235049545535,0.06024533124196424,0.11386129543298348,0.09146812089855486,0.14652945414358454
0.25,3852.631578947369,0.05545966303685698,0.059666196072665455,0.11139496746727287,0.09785123863845789,0.1454753860822822
0.25,4000.0,0.054324189927104895,0.059054669366499064,0.10887252530459766,0.09461279945644671,0.14316167402691127
